age,sex,energy_kcal,carb_g,protein_g,fat_g,saturated_fat_g,sugar_g,fiber_g,sodium_mg,iron_mg,folate_ug,calcium_mg,vitamin_a_ug,vitamin_c_mg,zinc_mg,potassium_mg,magnesium_mg,iodine_ug,cholesterol_mg,vitamin_b12_ug,vitamin_d_ug,vitamin_b6_mg,thiamin_b1_mg,caffeine_mg
7,M,1970,262.7,28.3,76.6,24.1,57.8,15.8,1380,8.7,300,700,500,30,7,2500,130,90,300,1.2,5,0.6,0.6,0
7,F,1740,232,28.3,67.7,21.3,51,14,1380,8.7,300,700,500,30,7,2500,130,90,300,1.2,5,0.6,0.6,0
8,M,1970,262.7,28.3,76.6,24.1,57.8,15.8,1380,8.7,300,700,500,30,7,2500,130,90,300,1.2,5,0.6,0.6,0
8,F,1740,232,28.3,67.7,21.3,51,14,1380,8.7,300,700,500,30,7,2500,130,90,300,1.2,5,0.6,0.6,0
9,M,1970,262.7,28.3,76.6,24.1,57.8,15.8,1380,8.7,300,700,500,30,7,2500,240,120,300,1.8,5,1,0.9,0
9,F,1740,232,28.3,67.7,21.3,51,14,1380,8.7,300,700,500,30,7,2500,240,120,300,1.8,5,1,0.9,0
10,M,2220,296,42.1,86.3,27.1,65.1,17.8,1380,11.3,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
10,F,1845,246,41.2,71.8,22.6,54.1,14.8,1380,14.8,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
11,M,2220,296,42.1,86.3,27.1,65.1,17.8,1380,11.3,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
11,F,1845,246,41.2,71.8,22.6,54.1,14.8,1380,14.8,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
12,M,2220,296,42.1,86.3,27.1,65.1,17.8,1380,11.3,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
12,F,1845,246,41.2,71.8,22.6,54.1,14.8,1380,14.8,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
13,M,2220,296,42.1,86.3,27.1,65.1,17.8,1380,11.3,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
13,F,1845,246,41.2,71.8,22.6,54.1,14.8,1380,14.8,400,1300,600,35,9,2500,240,120,300,1.8,5,1,0.9,0
14,M,2755,367.3,55.2,107.1,33.7,80.8,22.1,1600,11.3,400,1300,700,40,9.5,2500,410,150,300,2.4,5,1.3,1.2,0
14,F,2110,281.3,45,82.1,25.8,61.9,16.9,1600,14.8,400,1300,600,40,7,2500,360,150,300,2.4,5,1.3,1.2,0
15,M,2755,367.3,55.2,107.1,33.7,80.8,22.1,1600,11.3,400,1300,700,40,9.5,2500,410,150,300,2.4,5,1.3,1.2,0
15,F,2110,281.3,45,82.1,25.8,61.9,16.9,1600,14.8,400,1300,600,40,7,2500,360,150,300,2.4,5,1.3,1.2,0
16,M,2755,367.3,55.2,107.1,33.7,80.8,22.1,1600,11.3,400,1300,700,40,9.5,2500,410,150,300,2.4,5,1.3,1.2,0
16,F,2110,281.3,45,82.1,25.8,61.9,16.9,1600,14.8,400,1300,600,40,7,2500,360,150,300,2.4,5,1.3,1.2,0
17,M,2755,367.3,55.2,107.1,33.7,80.8,22.1,1600,11.3,400,1300,700,40,9.5,2500,410,150,300,2.4,5,1.3,1.2,0
17,F,2110,281.3,45,82.1,25.8,61.9,16.9,1600,14.8,400,1300,600,40,7,2500,360,150,300,2.4,5,1.3,1.2,0
18,M,2755,367.3,55.2,107.1,33.7,80.8,22.1,1600,11.3,400,1300,700,40,9.5,2500,410,150,300,2.4,5,1.3,1.2,0
18,F,2110,281.3,45,82.1,25.8,61.9,16.9,1600,14.8,400,1300,600,40,7,2500,360,150,300,2.4,5,1.3,1.2,0
19,M,2755,367.3,55.2,107.1,33.7,80.8,22.1,1600,11.3,400,1300,700,40,9.5,2500,410,150,300,2.4,5,1.3,1.2,0
19,F,2110,281.3,45,82.1,25.8,61.9,16.9,1600,14.8,400,1300,600,40,7,2500,360,150,300,2.4,5,1.3,1.2,0
